Year,State,Metadata
2007,Oregon,"Renewable Fuels Mandate, All gasoline sold in the state must be blended with at least 10% ethanol
(E10). Gasoline with an octane rating of 91 or above is exempt from this
mandate, as is gasoline sold for use in certain non-road applications.
Gasoline that contains at least 9.2% agriculturally derived ethanol that
meets [ASTM](%20https://www.astm.org/Standard/index.html) Standard D4806
complies with the mandate. For the purpose of the mandate, ethanol must
meet [ASTM](%20https://www.astm.org/Standard/index.html) Standard D4806.
The governor may suspend the renewable fuels mandate for ethanol if the
Oregon Department of Energy finds that a sufficient amount of ethanol is
not available.

All diesel fuel sold in the state must be blended with at least 5%
biodiesel (B5). For the purpose of this mandate, biodiesel is defined as
a motor vehicle fuel derived from vegetable oil, animal fat, or other
non-petroleum resources, that is designated as B100 and complies with
[ASTM](%20https://www.astm.org/Standard/index.html) Standard D6751.
Renewable diesel qualifies as a substitute for biodiesel in the blending
requirement. In addition, diesel fuel blends sold between October 1 and
February 28 may contain additives to prevent congealing or gelling. At
any time, the Oregon Department of Energy may request a certificate of
fuel analysis for biodiesel sold at any non-retail and wholesale
biodiesel dealer.

(Reference [Oregon Revised Statutes 646.913 through 646.923](https://www.oregonlegislature.gov/) and [Oregon Administrative Rules 603-027-0410 and 603-027-0420](https://www.oregon.gov/OWRD/programs/policylawandrules/OARS/Pages/default.aspx)), Laws and Regulations, 75.0, BIOD|ETH|RD, RFS, STATION|PURCH, https://www.oregonlegislature.gov/|https://www.oregon.gov/OWRD/programs/policylawandrules/OARS/Pages/default.aspx, amended"
2007,Oregon,"Biodiesel Quality Testing Procedures, Each biodiesel or other renewable diesel producer, distributor, or
importer must retain the certificate of analysis for each batch or
production lot of B100 sold or delivered in the state for at least one
year. The Oregon Department of Agriculture (ODA) or authorized agents
may examine these records as necessary. The ODA or authorized agents may
also perform on-site testing or obtain samples of biodiesel or other
renewable diesel from any producer, bulk facility, or retail location
that sells, distributes, transports, hauls, delivers, or stores
biodiesel or other renewable diesel. The related testing cost is the
responsibility of the business providing the sample.

(Reference [Oregon Revised Statutes 646.923](https://www.oregonlegislature.gov/)), Laws and Regulations, 85.0, BIOD|RD, STD|REGIS, STATION|AFP, https://www.oregonlegislature.gov/, enacted"
2007,Oregon,"Biofuels Program Impact Studies, The Oregon Department of Energy (ODOE) must conduct periodic impact
studies related to the biofuels industry in the state. These studies
should evaluate such criteria as: jobs created; current and projected
feedstock availability; amount of biofuels blends produced and consumed
in the state; cost comparison of biofuels blends and petroleum fuel;
environmental impacts; and the extent to which Oregon producers import
biofuels or biofuels feedstocks from outside the state. ODOE issued the
first Biofuels Impact Study in 2010 and will conduct a study every two
years through January 1, 2025.

(Reference [Oregon Revised Statutes 469B.400](https://www.oregonlegislature.gov/)), Laws and Regulations, 90.0, BIOD|ETH, OTHER, OTHER, https://www.oregonlegislature.gov/, expired"
2007,Oregon,"Alternative Fuel Technology Weight Exemption, A vehicle equipped with a fully functional idle reduction system
designed to reduce fuel use and emissions from engine idling may exceed
the maximum weight limitations by up to 550 pounds (lbs.) to accommodate
the added weight of the idle reduction technology. Any natural gas
vehicle or electric vehicle may exceed the limits by up to 2,000 lbs.

(Reference [Oregon Revised Statutes 818.030](https://www.oregonlegislature.gov/)), State Incentives, 15.0, IR|NG, EXEM, FLEET|GOV|IND, https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/, amended"
2005,Oregon,"Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards, Under the Oregon LEV Program, all new passenger cars, light-duty trucks,
and medium-duty vehicles sold, leased, licensed, or delivered for sale
in the state must meet California motor vehicle emissions and compliance
requirements specified in Title 13 of the [California Code of
Regulations](http://www.oal.ca.gov/). Exemptions may apply.
Manufacturers must meet the [greenhouse gas emissions
standard](https://www.afdc.energy.gov/laws/6493) and the [ZEV production
and sales requirements](https://www.afdc.energy.gov/laws/4249). The
Oregon Department of Environmental Quality (DEQ) must work with the
Environmental Quality Commission to maintain consistency with
California's zero ZEV regulation, including any ZEV sales requirement
increases. DEQ must also work with the Oregon Department of Justice and
take appropriate steps to retain California's exemption for vehicle
standards that are more protective of air quality under the Federal
Clean Air Act.

In December 2022, Oregon adopted the California vehicle emissions
standards and compliance requirements set forth in the California Air
Resources Board [Advanced Clean Cars
II](https://ww2.arb.ca.gov/our-work/programs/advanced-clean-cars-program/advanced-clean-cars-ii)
regulation. These new emissions standards and requirements will begin
with model year 2026 and require that 100% of new passenger vehicles
sold in Oregon must be ZEVs by 2035.

For more information, see the [Oregon Clean Car
Standards](https://www.oregon.gov/deq/aq/programs/Pages/ORLEV.aspx)
website.

(Reference [Executive Order 17-21, 2017](https://www.oregon.gov/gov/Pages/executive-orders.aspx), [Oregon Revised Statutes 468A.360](https://www.oregonlegislature.gov/), and [Oregon Administrative Rules 340-257](https://www.oregon.gov/OWRD/programs/policylawandrules/OARS/Pages/default.aspx)), Laws and Regulations, 95.0, OTHER, AIRQEMISSIONS, MAN, https://www.oregonlegislature.gov/|https://www.oregon.gov/gov/Pages/executive-orders.aspx|https://www.oregonlegislature.gov/|https://www.oregon.gov/OWRD/programs/policylawandrules/OARS/Pages/default.aspx, amended"
,Tennessee,"Biodiesel and Ethanol Definitions and Retail Requirements, Commercial biodiesel stock used for biodiesel blends must be at least
99% biodiesel (no more than 1% diesel fuel) and meet
[ASTM](https://www.astm.org/Standard/index.html) Standard D6751.
Biodiesel blends must meet
[ASTM](https://www.astm.org/Standard/index.html) Standard D975.
Biodiesel blends made available for public use at retail locations may
not exceed 20% biodiesel (B20), and biodiesel blends containing more
than 5% biodiesel (B5) must be labeled as a biodiesel blend at the pump.

Ethanol is defined as nominally anhydrous ethyl alcohol that meets
[ASTM](https://www.astm.org/Standard/index.html) Standard D4806. Ethanol
blends made available for public use at a retail location must be
labeled accordingly (e.g., E85).

(Reference [Rules of the Tennessee Department of Agriculture 0080-5-12-.01, 0080-5-12-.02, and 0080-5-12-.03](https://publications.tnsosfiles.com/rules/0080/0080.htm)), Laws and Regulations, 45.0, BIOD|ETH, STD, STATION|AFP|PURCH, https://publications.tnsosfiles.com/rules/0080/0080.htm"
2008,Oklahoma,"Low- and Medium-Speed Vehicle Access to Roadways, A low-speed electric vehicle (EV) is any four-wheeled EV powered by an
electric motor that draws current from rechargeable storage batteries or
other sources of electric current and whose top speed is greater than 20
miles per hour (mph) but not greater than 25 mph. Low-speed EVs may not
operate on streets or highways with posted speed limits greater than 35
mph, but may cross a street or highway with a posted speed limit greater
than 35 mph.

A medium-speed EV is defined as any self-propelled, electrically powered
four-wheeled motor vehicle, whose top speed is greater than 30 miles per
hour (mph) but not greater than 35 mph. Medium-speed EVs must be
registered according to the Oklahoma Vehicle License and Registration
Act. Medium-speed EVs may operate on roadways with a posted speed limit
of up to 45 mph but are not permitted to travel on any highway in the
state that is a part of the National System of Interstate and Defense
Highways. Low- and medium-speed EVs must meet the safety standards
specified in Title 49 of the [Code of Federal
Regulations](http://www.ecfr.gov/cgi-bin/text-idx?c=ecfr&tpl=/ecfrbrowse/Title49/49tab_02.tpl),
section 571.500.

(Reference [Oklahoma Statutes 47-11-805.1, 47-1102.2, and 47-1151.4](http://www.oklegislature.gov/)), Laws and Regulations, 85.0, NEVS, DREST, FLEET|GOV|IND, http://www.oklegislature.gov/, enacted"
2008,Pennsylvania,"Idle Reduction Requirement, Diesel vehicles with a gross vehicle weight rating over 10,000 pounds
may not idle for more than five minutes in any continuous 60-minute
period. Exemptions include: uncontrollable traffic conditions;
prevention of safety or health emergencies; emergency or law enforcement
purposes; verification that a vehicle is safe to operate; vehicle
maintenance; power work-related operations; sampling, weighing, or
loading; bus passenger comfort; vehicles actively engaged in solid waste
or recyclable material collection; vehicles complying with manufacturer
specifications; and vehicles meeting California Air Resources Board
oxides of nitrogen idling emission standards.

(Reference [Title 35 Pennsylvania Statutes, Chapter 23B, Section 4603](https://govt.westlaw.com/pac/Index?bhcp=1&transitionType=Default&contextData=%28sc.Default%29)), Laws and Regulations, 65.0, IR, AIRQEMISSIONS|DREST, FLEET|IND, https://govt.westlaw.com/pac/Index?bhcp=1&transitionType=Default&contextData=%28sc.Default%29, amended"
2008,Pennsylvania,"Renewable Fuels Mandate, One year after in-state production has reached 350 million gallons of
cellulosic ethanol and sustained this volume for three months, all
gasoline sold in Pennsylvania must contain at least 10% cellulosic
ethanol. All diesel fuel sold in Pennsylvania must contain at least 2%
biodiesel (B2) one year after in-state production of biodiesel reaches
40 million gallons. The mandated biodiesel blend level will continue to
increase according to the following schedule:

-   5% biodiesel (B5) one year after in-state production of biodiesel
    reaches and sustains 100 million gallons for three months;
-   10% biodiesel (B10) one year after in-state production of biodiesel
    reaches and sustains 200 million gallons for three months; and
-   20% biodiesel (B20) one year after in-state production of biodiesel
    reaches and sustains 400 million gallons for three months.

Biodiesel blends must comply with
[ASTM](%20https://www.astm.org/Standard/index.html) standards. All
biodiesel retailers in Pennsylvania must register with the Pennsylvania
Department of Agriculture each year. Additional compliance and blending
standards, in-state registration requirements, and certification and
enforcement guidelines apply.

(Reference [Title 73 Pennsylvania Statutes, Chapter 18H, Sections 1650.3, 1650.4, and 1650.4.1](http://government.westlaw.com/linkedslice/default.asp?SP=pac-1000)), Laws and Regulations, 50.0, BIOD|ETH, RFS, STATION|AFP, http://government.westlaw.com/linkedslice/default.asp?SP=pac-1000, amended"
1998,Pennsylvania,"Low Emission Vehicle (LEV) Standards, The Pennsylvania Clean Vehicles Program requires that all new passenger
cars and light-duty trucks sold, leased, titled, or registered in the
Commonwealth must meet California motor vehicle emissions and compliance
requirements specified in Title 13 of the [California Code of
Regulations](http://www.oal.ca.gov/), with the exception of the zero
emission vehicle sales requirements and the emissions control system
warranty statement. For more information, see the [Pennsylvania Clean
Vehicles
Program](http://www.dmv.pa.gov/VEHICLE-SERVICES/Title-Registration/Pages/Clean-Vehicle-Program.aspx)
website.

(Reference [Title 25 Pennsylvania Code 126.401-126.451](http://www.pacode.com/)), Laws and Regulations, 55.0, OTHER, AIRQEMISSIONS, MAN, http://www.pacode.com/, amended"
2009,South Dakota,"Biodiesel Blend Tax Credit, Licensed biodiesel blenders are eligible for a tax credit for special
fuel, including diesel that is blended with biodiesel. The tax credit is
granted on a per gallon basis in the amount that the rate for special
fuel exceeds the rate for the biodiesel blend. The purpose of the credit
is to offset any tax liability resulting from the blending of previously
untaxed biodiesel.

(Reference [South Dakota Statutes 10-47B-121.1](http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx)), State Incentives, 5.0, BIOD, TAX, STATION|AFP|PURCH, http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx, enacted"
2009,South Dakota,"Tax Refund for Methanol Used in Biodiesel Production, A licensed biodiesel producer may apply for and obtain a tax refund for
state fuel taxes paid on methanol used to produce biodiesel. For more
information, including how to apply, see the South Dakota Department of
Revenue [Motor Fuel Excise
Tax](https://dor.sd.gov/individuals/taxes/motor-fuel/) website.

(Reference [South Dakota Statutes 10-47B-120.1](http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx)), State Incentives, 20.0, BIOD, TAX, AFP, http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx, enacted"
2009,Oklahoma,"Access to State Alternative Fueling Stations, The Oklahoma Office of Management and Enterprise Services (OMES) Fleet
Management Division may construct, install, acquire, operate, and
provide alternative fueling infrastructure where public access to
alternative fuel infrastructure is not readily available. OMES must
discontinue public access to their fueling stations if a privately owned
alternative fueling station opens within a five-mile radius. Alternative
fuels include natural gas, propane, ethanol, methanol, biodiesel,
electricity, and hydrogen.

(Reference [Oklahoma Statutes 74-78 and 74-130.2](http://www.oklegislature.gov/)), Laws and Regulations, 76.0, BIOD|ETH|ELEC|HY|NG|PHEV|LPG, OTHER, STATION|OTHER, http://www.oklegislature.gov/, enacted"
2009,Tennessee,"Supply of Petroleum Products for Blending with Biofuels, Petroleum product refiners and suppliers must make all grades of
gasoline and diesel fuel available to any wholesaler in a condition that
allows for the fuel to be blended with ethanol or other bio-based
products and must be sold in Tennessee. In addition, gasoline products
must be available with detergent additives in concentrations such that
after the addition of ethanol, the final product meets or exceeds the
lowest additive concentrations that the U.S. Environmental Protection
Agency requires.

(Reference [Tennessee Code 47-25-2003](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 40.0, BIOD|ETH, STD, STATION|AFP, https://www.tncourts.gov/Tennessee%20Code, enacted"
2009,Oregon,"Clean Transportation Fuel Standards, The Oregon Department of Environmental Quality (DEQ) administers the
Oregon Clean Fuels Program (Program), which requires fuel producers and
importers to register, keep records of, and report the volumes and
carbon intensities of the fuels they provide in Oregon. Phase 2 of the
Program, implemented in 2016, requires fuel suppliers to reduce the
carbon content of transportation fuels.

In 2022, a new goal was implemented to reduce the carbon content of
transportation fuels by 20% below 2015 levels by 2030, and 37% below
2015 levels by 2035.

DEQ must conduct rulemaking for the Program to support greater electric
vehicle (EV) adoption. DEQ must also develop a
[method](https://goelectric.oregon.gov/our-strategy) to aggregate and
monetize all eligible EV credits in the Program to assist in achieving
the state goal of 250,000 registered EVs in Oregon by 2025. For more
information, see the DEQ [Oregon Clean Fuels
Program](https://www.oregon.gov/deq/ghgp/cfp/Pages/CFP-Overview.aspx)
website.

(Reference [Oregon Revised Statutes 468A.266](https://www.oregonlegislature.gov/bills_laws/Pages/ORS.aspx), [Oregon Administrative Rules 340-253](http://sos.oregon.gov/archives/Pages/oregon_administrative_rules.aspx), and [Permanent Administrative Order DEQ 17-2022](https://secure.sos.state.or.us/oard/displayChapterRules.action?selectedChapter=80)), Laws and Regulations, 70.0, BIOD|ETH|ELEC|HY|NG|PHEV|LPG, CCEINIT|STD, OTHER, https://www.oregonlegislature.gov/bills_laws/Pages/ORS.aspx|http://sos.oregon.gov/archives/Pages/oregon_administrative_rules.aspx|https://secure.sos.state.or.us/oard/displayChapterRules.action?selectedChapter=80, amended"
2008,Pennsylvania,"Idle Reduction, Natural Gas Vehicle (NGV), and Electric Vehicle (EV) Weight Exemption, A vehicle equipped with qualified idle reduction technology may exceed
the state's gross and axle weight limits by up to 400 pounds (lbs.) to
compensate for the additional weight of the idle reduction technology. A
vehicle primarily powered by natural gas or electricity may exceed the
state's gross vehicle weight limits by a weight equal to the difference
between the weight of the vehicle with the natural gas tank and fueling
system, or EV battery, and the weight of a comparable vehicle with a
diesel tank and fueling system. Any NGV and EV may exceed the limits by
up to 2,000 lbs.

(Reference [Title 35 Pennsylvania Statutes, Chapter 23B, Section 4604 ](https://www.legis.state.pa.us/cfdocs/legis/LI/Public/index.cfm) and [Title 75 Pennsylvania Statutes, Part IV, Chapter 49, Subchapter C, Section 4941](https://www.legis.state.pa.us/cfdocs/legis/LI/Public/index.cfm)), State Incentives, 40.0, IR|NG, EXEM, FLEET|GOV|IND, https://www.legis.state.pa.us/cfdocs/legis/LI/Public/index.cfm|https://www.legis.state.pa.us/cfdocs/legis/LI/Public/index.cfm, amended"
2005,Rhode Island,"Low-Speed Vehicle Access to Roadways - Prudence Island, A low-speed vehicle may operate on the roadways of Prudence Island
between the hours of 6am and 6pm. A low-speed vehicle may not operate on
a street or highway with a posted speed limit greater than 25 miles per
hour (mph), but it may cross a street or highway with a posted speed
limit greater than 35 mph. For the purpose of this regulation, a
low-speed vehicle is defined as a self-propelled, electric or gas
powered motor vehicle that is designed to carry no more than four
passengers; is designed to be and is operated at speeds of not more than
25 mph; and conforms to the maximum safety equipment requirements and
standards specified in Title 49 of the [U.S. Code of Federal
Regulations](https://www.govinfo.gov/app/collection/cfr), section
571.500.

(Reference [Rhode Island General Laws 31-19.4-1](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 50.0, NEVS, DREST, FLEET|GOV|IND, http://webserver.rilin.state.ri.us/Statutes/, enacted"
2009,Tennessee,"Utility District Natural Gas Fueling Station Regulation, Utility districts may own and operate natural gas fueling stations if
the operation of the station is not franchised to another entity. This
regulation does not prohibit private companies from owning or operating
natural gas fueling stations within a utility district service area.

(Reference [Tennessee Code 7-82-302](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 32.0, NG, REGIS, STATION, https://www.tncourts.gov/Tennessee%20Code, enacted"
2009,Tennessee,"Biofuel Blending Contract Regulation, Any provision in a contract between a fuel wholesaler and a refiner or
supplier that limits or restricts the wholesaler's ability to blend
petroleum products with ethanol or biodiesel is null and void.

(Reference [Tennessee Code 47-25-2004](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 35.0, BIOD|ETH, OTHER, STATION|AFP, https://www.tncourts.gov/Tennessee%20Code, enacted"
2009,Ohio,"Alternative Fuel Signage, The Ohio Turnpike Commission allows businesses to place their logos on
directional signs within the right-of-way of state turnpikes. An
alternative fuel retailer may include a marking or symbol within their
logo indicating that it sells one or more types of alternative fuel.
Alternative fuels are defined as any fuel containing 85% or more ethanol
(E85), fuel blends containing at least 20% biodiesel (B20), natural gas,
propane, hydrogen, electricity, or any fuel that the U.S. Department of
Energy has determined is substantially not petroleum. For more
information, see the Ohio Turnpike Commission
[website](https://www.ohioturnpike.org/home).

(Reference [Ohio Revised Code 125.831 and 5537.30](https://codes.ohio.gov/ohio-revised-code)), Laws and Regulations, 55.0, BIOD|ETH|ELEC|HY|NG|PHEV|LPG, OTHER, STATION|PURCH, https://codes.ohio.gov/ohio-revised-code, enacted"
2011,South Dakota,"Biofuel Franchising Contract Regulations, Franchise documents may not restrict a franchisee from participating in
any of the following activities:

-   Installing a biofuel pump or tank, except property leased from the
    franchisor;
-   Converting an existing tank or pump for biofuels use;
-   Advertising the sale of biofuels, including listing biofuel
    availability or prices on signage;
-   Selling biofuels;
-   Purchasing biofuel from other sources if the franchisor does not
    offer biofuel;
-   Installing or operating an ethanol blender pump, if the pump is
    approved for use by the appropriate jurisdictional authority; or
-   Selling a biofuel in place of one grade of gasoline, if the
    franchisee is required to sell three grades of gasoline.

Biofuels include biodiesel, biodiesel blends, ethanol, and ethanol
blends.

(Reference [South Dakota Statutes 37-2-34 through 37-2-37](https://sdlegislature.gov/Statutes)), Laws and Regulations, 60.0, BIOD|ETH, OTHER, STATION, https://sdlegislature.gov/Statutes, enacted"
,Rhode Island,"Emissions Control Requirement, Heavy-duty diesel vehicles used to perform federally funded state public
works contracts must be powered by engines with Level 3 emissions
control devices that are properly operated and maintained. If the Rhode
Island Department of Environmental Management determines that no
verified Level 3 devices are appropriate on particular engines, Level 2
devices are required. Likewise, if no verified Level 2 devices are
appropriate, Level 1 devices are required. Exceptions to this
requirement include, but are not limited to, snow removal vehicles and
equipment, farm equipment, emergency response vehicles, standby
generators, and vehicles used on a project for less than 30 total work
days over the life of the project.

(Reference [Rhode Island General Laws 31-47.3-5](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 45.0, IR, AIRQEMISSIONS|DREST, FLEET|GOV, http://webserver.rilin.state.ri.us/Statutes/, amended"
2011,Oregon,"Commercial Vehicle Idle Reduction Requirement, A driver of a commercial vehicle may not idle the engine for more than
five minutes in any sixty-minute period, unless the vehicle is using an
auxiliary power unit, generator set, cargo temperature control unit, or
other idle reduction technology that maintains heat or air conditioning
or provides electrical power. Exceptions apply in certain situations and
for certain vehicles.

(Reference [Oregon Revised Statutes 825.605 through 825.610](https://www.oregonlegislature.gov/)), Laws and Regulations, 80.0, IR, AIRQEMISSIONS|DREST, FLEET|GOV, https://www.oregonlegislature.gov/, enacted"
2012,Oregon,"Electric Vehicle (EV) Charging Rate Regulations, Regulated electric utilities must provide customers with a choice of
flat rate or time of use electricity rates specific to EV owners.
Investor-owned utilities may own and operate EV charging equipment using
its own funds or petition the Oregon Public Utilities Commission for
rate recovery.

(Reference [Oregon Revised Statutes 757.005](https://www.oregonlegislature.gov/) and [Public Utility Commission of Oregon, Order No. 12-013, 2012](http://apps.puc.state.or.us/edockets/ordselct.asp)), Laws and Regulations, 60.0, ELEC|PHEV, OTHER, AFP|OTHER, https://www.oregonlegislature.gov/|http://apps.puc.state.or.us/edockets/ordselct.asp, enacted"
2012,Tennessee,"Compressed Natural Gas (CNG) Permit, CNG dealers must apply for and obtain a permit from the Tennessee
Department of Revenue (Department). The permit authorizes the dealer to
collect and remit taxes on CNG delivered to motor vehicles by means of a
dispenser with meter capability. The permit will remain valid as long as
the dealer provides timely reports and remits taxes when due, or until
surrendered or cancelled. All CNG meters and dispensers are subject to
inspection and verification by the Tennessee Department of Agriculture's
Weights and Measures enforcement provisions.

A CNG vehicle user must apply for and obtain a CNG user's permit from
the Department unless the user purchases CNG from a dealer through a
metered dispenser.

For more information, see the Department's [CNG Tax Return for
Dealers](https://www.tn.gov/content/dam/tn/revenue/documents/notices/motorfuels/motorfuels13-02.pdf)
fact sheet and the [Motor Fuel
Taxes](https://www.tn.gov/revenue/taxes/motor-fuel-taxes/forms.html)
website.

(Reference [Tennessee Code 67-3-1119 and 67-3-1120](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 85.0, NG, REGIS, STATION|IND, https://www.tncourts.gov/Tennessee%20Code, enacted"
2012,Rhode Island,"Petroleum Reduction Initiative, The Petroleum Savings and Independence Advisory Commission (Commission)
was established to provide recommendations and monitor programs designed
to reduce the state's dependence on petroleum-based fuels in the
transportation and heating sectors. Established targets may not provide
less than a 30% overall reduction in petroleum consumption from 2007
levels by 2030 and a 50% overall reduction from 2007 levels by 2050.
Recommendations will include those related to incentives, plug-in
electric vehicle deployment, implementation of a clean fuels standard,
and land use planning. The Commission must report on monitoring
activities to the General Assembly at least every two years. The
Commission must also continue to evaluate the state's progress toward
meeting petroleum-reduction goals and make recommendations to the
General Assembly as necessary.

(Reference [Rhode Island General Laws 42-140.4](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 36.0, ELEC|OTHER|PHEV, OTHER, OTHER, http://webserver.rilin.state.ri.us/Statutes/, enacted"
2013,Tennessee,"Natural Gas Station Property Tax Reduction, Any public utility, commercial, or industrial property certified to fuel
natural gas vehicles may not be valued for property tax purposes at more
than 30% of its total installed cost. The Tennessee Department of
Environment and Conservation must certify that the station uses
compressed or liquefied natural gas for the purpose of fueling motor
vehicles and displaces more than 6,000 gallons of petroleum annually.

(Reference [Tennessee Code 67-5-601 and 67-4-2004](https://www.tncourts.gov/Tennessee%20Code)), State Incentives, 10.0, NG, TAX, STATION|AFP|FLEET|GOV, https://www.tncourts.gov/Tennessee%20Code, enacted"
,Oklahoma,"Ethanol Sales Tax Exemption, The portion of ethanol sold and blended with motor fuel is exempt from
sales tax.
, State Incentives, 37.0, ETH, EXEM|TAX, STATION|PURCH|IND, http://www.oklegislature.gov/"
2013,Oklahoma,"Compressed Natural Gas (CNG) Fueling Infrastructure Inspection, The Oklahoma Department of Labor may access and inspect any equipment,
practices, or methods used in association with public CNG fueling
infrastructure.

(Reference [Oklahoma Statutes 40-142.2](http://www.oklegislature.gov/)), Laws and Regulations, 73.0, NG, OTHER, STATION|AFP, http://www.oklegislature.gov/, amended"
2013,Oregon,"State Agency Electric Vehicle (EV) Charging Station Installation, State agencies may install publicly accessible EV chargers on their
premises or contract with a vendor to do so. The Oregon Department of
Administrative Services (DAS) will establish criteria to determine the
appropriate number of locations for EV chargers at each agency. A state
agency may establish and adjust a uniform price for charging, provided
that the price recovers, to the extent practicable, the cost of
operating the EV charger and does not exceed 110% of the average market
price for the use of public EV chargers. DAS reported to the Legislative
Assembly on the number, cost, and utilization of EV chargers installed
by state agencies in [February
2019](https://www.oregonlegislature.gov/citizen_engagement/Reports/2018-DAS-Fleet%20and%20Parking%20Services.pdf),
[February
2021](https://www.oregonlegislature.gov/citizen_engagement/Reports/DAS%20Fleet%20ORS%20283%20343%20Biennial%20Report%202020%20Final.pdf),
and [February
2023](https://olis.oregonlegislature.gov/liz/2023R1/Downloads/CommitteeMeetingDocument/262613).

DAS must add electric vehicle (EV) charging capacity for employee and
public visitor parking lots, develop contracts to procure and install
charging infrastructure, and incorporate EV charging as a tenant
improvement for state-leased buildings.

(Reference [Oregon Revised Statutes 276.255](https://www.oregonlegislature.gov) and [Executive Order 17-21, 2017](http://www.oregon.gov/gov/admin/pages/executive-orders.aspx)), Laws and Regulations, 52.0, ELEC|PHEV, REQ, STATION, https://www.oregonlegislature.gov|https://www.oregonlegislature.gov|https://www.oregonlegislature.gov|http://www.oregon.gov/gov/admin/pages/executive-orders.aspx, amended"
2013,Oregon,"Electric Vehicle (EV) Charging Station Policies for Associations, The owner of a lot in a planned community or unit in a condominium may
apply to install EV charging stations for their personal use in a
parking space subject to the exclusive use of the owner. The homeowners
association (HOA) must approve a complete application within 60 days.
The owner is responsible for all costs associated with the EV charging
station installation and use, must disclose the existence of the EV
charging station and related responsibilities to a prospective buyer,
and must ensure that the infrastructure meets insurance and safety
requirements. EV charging stations installed under these regulations are
considered to be the personal property of the lot or unit owner with
which the EV charging station is associated, unless the owner and HOA
have negotiated a different outcome. Additional requirements and
restrictions apply.

(Reference [Oregon Revised Statutes 94.762 and 100.627](http://www.leg.state.or.us/ors/home.htm)), Laws and Regulations, 62.0, ELEC|PHEV, RTC, MUD|IND, http://www.leg.state.or.us/ors/home.htm, amended"
,Oregon,"Alternative Fuel Excise Tax, Compressed natural gas motor fuel is subject to the state fuel excise
tax at the rate of \$0.34 per 123.57 cubic feet. Liquefied petroleum gas
motor fuel is subject to the state fuel excise tax at the rate of \$0.34
per 1.353 gallons. Hydrogen motor fuel is subject to the state fuel
excise tax at the rate of \$0.34 per kilogram. Liquefied natural gas
motor fuel is subject to the state fuel excise tax at the rate of \$0.34
per 1.71 gallons.

(Reference [Oregon Revised Statutes 319.530](https://www.oregonlegislature.gov/)), Laws and Regulations, 115.0, HY|NG|LPG, FUEL, STATION|PURCH|FLEET|IND, https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/bills_laws"
2013,Oregon,"Zero Emission Vehicle (ZEV) Deployment Support, Oregon joined California, Connecticut, Maine, Maryland, Massachusetts,
New Jersey, New York, Rhode Island, and Vermont in signing a [memorandum
of
understanding](https://www.nescaum.org/documents/zev-mou-10-governors-signed-20191120.pdf/)
(MOU) to support the deployment of ZEVs through involvement in a ZEV
Program Implementation Task Force (Task Force). In May 2014, the Task
Force published a [ZEV Action
Plan](https://www.nescaum.org/documents/multi-state-zev-action-plan.pdf)
(Plan) identifying 11 priority actions to accomplish the goals of the
MOU, including deploying at least 3.3 million ZEVs and adequate fueling
infrastructure within the signatory states by 2025. The Plan also
includes a research agenda to inform future actions. On an annual basis,
each state must report on the number of registered ZEVs, the number of
public electric vehicle (EV) charger and hydrogen fueling stations, and
available information regarding workplace fueling for ZEVs.

In June 2018, the Task Force published a new [ZEV Action
Plan](https://www.nescaum.org/documents/2018-zev-action-plan.pdf) for
2018-2021. Building on the 2014 Action Plan, the 2018 Action Plan makes
recommendations for states and other key partners in five priority
areas:

-   Raising consumer awareness and interest in electric vehicle
    technology;
-   Building out a reliable and convenient residential, workplace and
    public charging/fueling infrastructure network;
-   Continuing and improving access to consumer purchase and
    non-financial incentives;
-   Expanding public and private sector fleet adoption; and
-   Supporting dealership efforts to increase ZEV sales.

For more information, see the [Multi-State ZEV Task
Force](https://www-f.nescaum.org/documents/multi-state-medium-and-heavy-duty-zero-emission-vehicle-action-plan/)
website.
, Laws and Regulations, 65.0, ELEC|HY|PHEV, AIRQEMISSIONS, OTHER, amended"
